Top-Down vs Bottom-Up Sizing	от аналитики к цифрам vs суммирование клиентов × цен
Market Growth Rate	CAGR; высокий рост привлекает инвесторов
Market Fragmentation Index	как много мелких игроков: признак лёгкости входа
Adjacency Market	соседние рынки, куда можно расшириться
Disruptability Score	насколько легко разрушить устоявшихся игроков (технология, регуляции)
Market Entrants Timeline	кто и когда выходил на рынок; тренд темпов
Regulation-Driven Constraints	лицензии, сертификации, GDPR
Macro-Trend Alignment	мегатренды (ИИ, удалёнка) поддерживают рост рынка
Value-Chain Breakdown	где создаётся/захватывается маржа на пути к клиенту
Power-Dynamics (Porter 5 Forces)	покупатели, поставщики, замены, конкуренты, вход
Profit Pool Analysis	сегменты цепочки с наибольшей прибылью
Switching Cost Landscape	барьеры, удерживающие клиентов от смены поставщика
Substitute Threat Vector	непрямые замены, решающие ту же работу
Enablement Technology Waves	технологические сдвиги, открывающие рынок
Scenario-Based Forecast	несколько моделей роста (оптимистичная, базовая, стресс) 
